comm_type,comm_group,comm_group_size,msg_size,stage,dst,src,additional,_elapsed_time,algbw,busbw,count
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.0261759757995605,20.74,20.74,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.042623996734619,20.69,20.69,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.10361599922180176,0.15,0.15,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.18720054626465,20.75,20.75,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.25379180908203,20.67,20.67,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.291072845458984,20.62,20.62,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.11753600090742111,0.13,0.13,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,5.944960117340088,21.03,21.03,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.089471817016602,20.53,20.53,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.057248115539551,20.64,20.64,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.078368186950684,20.56,20.56,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.09689600020647049,0.16,0.16,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.184288024902344,20.76,20.76,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.256000518798828,20.67,20.67,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.25529670715332,20.67,20.67,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.1181119978427887,0.13,0.13,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,5.951648235321045,21.0,21.0,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.043488025665283,20.68,20.68,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.06217622756958,20.62,20.62,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.0595197677612305,20.63,20.63,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.10982400178909302,0.14,0.14,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.148639678955078,20.8,20.8,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.257343292236328,20.66,20.66,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.234527587890625,20.69,20.69,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.21747200191020966,0.07,0.07,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,5.718624114990234,21.86,21.86,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.005856037139893,20.81,20.81,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.007199764251709,20.81,20.81,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.013792037963867,20.79,20.79,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.12387199699878693,0.12,0.12,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.12940788269043,20.83,20.83,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.206592559814453,20.73,20.73,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.24687957763672,20.68,20.68,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.11695999652147293,0.13,0.13,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,5.981215953826904,20.9,20.9,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.083136081695557,20.55,20.55,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.047296047210693,20.67,20.67,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.06112003326416,20.62,20.62,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.10633599758148193,0.14,0.14,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.175935745239258,20.77,20.77,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.237567901611328,20.69,20.69,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.233407974243164,20.69,20.69,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.24079999327659607,0.06,0.06,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,5.893280029296875,21.21,21.21,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.076511859893799,20.57,20.57,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.065536022186279,20.61,20.61,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.055168151855469,20.64,20.64,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.10579200088977814,0.14,0.14,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.208608627319336,20.73,20.73,1
